name,type,latitude,longitude,comments
001,1,48.77044444,-68.94191667,
002,27,48.764625,-68.95073611,
003,1,48.764625,-68.95955556,
004,1,48.75880556,-68.95955556,
005,1,48.75880556,-68.96855556,
006,1,48.75880556,-68.977375,
007,1,48.75298611,-68.95955556,
008,1,48.75298611,-68.96855556,
009,1,48.75298611,-68.977375,
010,1,48.75298611,-68.98618889,
011,1,48.74715278,-68.96855556,
012,1,48.74715278,-68.977375,
013,1,48.74715278,-68.98618889,
014,1,48.74715278,-68.995,
015,1,48.74120278,-68.977375,
016,1,48.74120278,-68.98618889,
017,1,48.74120278,-68.995,
018,1,48.74120278,-69.00380556,
019,1,48.73537778,-68.977375,
020,1,48.73537778,-68.98618889,
021,1,48.73537778,-68.995,
022,1,48.73537778,-69.00380556,
023,1,48.72955556,-68.98618889,
024,1,48.72955556,-68.995,
025,1,48.72955556,-69.00380556,
026,27,48.72955556,-69.01261111,
027,1,48.72372222,-68.98618889,
028,1,48.72372222,-68.995,
035,1,48.7179,-69.02141667,
036,1,48.71207222,-69.00380556,
037,1,48.71207222,-69.01261111,
038,1,48.71207222,-69.02141667,
039,1,48.71207222,-69.03040278,
040,1,48.70611111,-69.00380556,
041,1,48.70611111,-69.01261111,
042,1,48.70611111,-69.02141667,
043,1,48.70611111,-69.03040278,
044,1,48.70029167,-69.01261111,
045,1,48.70029167,-69.02141667,
046,1,48.70029167,-69.03040278,
047,1,48.69445833,-69.01261111,
048,1,48.69445833,-69.02141667,
049,1,48.69445833,-69.03040278,
050,1,48.68863889,-69.02141667,
051,1,48.68863889,-69.03040278,
052,1,48.68280556,-69.02141667,
053,1,48.68280556,-69.03040278,
054,1,48.68280556,-69.03918056,
055,1,48.67698611,-69.03040278,
056,1,48.67698611,-69.03918056,
057,1,48.67102778,-69.03918056,
058,1,48.66519444,-69.03918056,
059,1,48.66519444,-69.04797222,
060,27,48.659375,-69.03918056,
061,1,48.659375,-69.04797222,
